,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
0,1950.0,PENNSYLVANIA,Tornado,0.0,2.0,,0.0,,0.0,,F2,12.9,33.0,,,40.58,-75.7,40.65,-75.47,,10104927.0
1,1950.0,OKLAHOMA,Tornado,0.0,6.0,,0.0,,0.0,,F2,6.8,100.0,,,35.0,-96.25,35.07,-96.17,,10099490.0
2,1950.0,OKLAHOMA,Tornado,0.0,3.0,,0.0,,0.0,,F2,4.3,33.0,,,36.12,-97.83,36.17,-97.78,,10096230.0
3,1950.0,MISSISSIPPI,Tornado,0.0,2.0,,0.0,,0.0,,F1,0.1,10.0,,,34.73,-88.27,,,,10049534.0
4,1950.0,TEXAS,Tornado,0.0,2.0,,0.0,,0.0,,F2,4.7,133.0,,,26.88,-98.12,26.88,-98.05,,10120401.0
5,1950.0,TEXAS,Tornado,1.0,12.0,,0.0,,0.0,,F3,12.0,1000.0,,,29.67,-95.05,29.83,-95.0,,10120403.0
6,1950.0,TEXAS,Tornado,1.0,8.0,,0.0,,0.0,,F2,8.0,833.0,,,33.33,-94.42,33.45,-94.42,,10120406.0
7,1950.0,TEXAS,Tornado,1.0,13.0,,0.0,,0.0,,F2,1.9,50.0,,,36.4,-100.8,36.42,-100.77,,10120413.0
8,1950.0,MISSISSIPPI,Tornado,1.0,2.0,,0.0,,0.0,,F2,0.0,33.0,,,33.17,-90.55,,,,10049527.0
9,1950.0,ARKANSAS,Tornado,1.0,8.0,,0.0,,0.0,,F3,2.5,33.0,,,35.75,-91.22,,,,9983002.0
10,1950.0,MISSISSIPPI,Tornado,2.0,1.0,,0.0,,0.0,,F3,2.0,50.0,,,33.08,-89.58,,,,10050384.0
11,1950.0,WISCONSIN,Tornado,2.0,12.0,,0.0,,0.0,,F4,13.1,880.0,,,45.58,-89.58,45.67,-89.33,,10146804.0
12,1950.0,ILLINOIS,Tornado,2.0,25.0,,0.0,,0.0,,F3,13.3,200.0,,,38.8,-89.6,38.9,-89.38,,10009719.0
13,1950.0,TEXAS,Tornado,3.0,15.0,,0.0,,0.0,,F3,1.9,50.0,,,31.8,-94.2,31.8,-94.18,,10120410.0
14,1950.0,MISSISSIPPI,Tornado,3.0,2.0,,0.0,,0.0,,F2,0.0,33.0,,,34.6,-89.12,,,,10049525.0
15,1950.0,OKLAHOMA,Tornado,5.0,32.0,,0.0,,0.0,,F4,4.5,200.0,,,35.08,-96.4,35.13,-96.35,,10096223.0
16,1950.0,TEXAS,Tornado,5.0,5.0,,0.0,,0.0,,F4,1.3,233.0,,,32.42,-99.5,32.42,-99.48,,10120411.0
17,1950.0,LOUISIANA,Tornado,5.0,25.0,,0.0,,0.0,,F3,17.6,100.0,,,31.63,-93.65,31.83,-93.47,,10032625.0
