,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,TOTAL DAMAGES,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
0,1950,PENNSYLVANIA,Tornado,0,2,25000.0,,0.0,,F2,12.9,33,,,40.58,-75.7,40.65,-75.47,,10104927
1,1950,OKLAHOMA,Tornado,0,6,250000.0,,0.0,,F2,6.8,100,,,35.0,-96.25,35.07,-96.17,,10099490
2,1950,OKLAHOMA,Tornado,5,32,250000.0,,0.0,,F4,4.5,200,,,35.08,-96.4,35.13,-96.35,,10096223
3,1950,OKLAHOMA,Tornado,0,3,25000.0,,0.0,,F2,4.3,33,,,36.12,-97.83,36.17,-97.78,,10096230
4,1950,MISSISSIPPI,Tornado,0,2,25000.0,,0.0,,F1,0.1,10,,,34.73,-88.27,,,,10049534
5,1950,TEXAS,Tornado,0,2,0.0,,0.0,,F2,4.7,133,,,26.88,-98.12,26.88,-98.05,,10120401
6,1950,TEXAS,Tornado,1,12,25000.0,,0.0,,F3,12.0,1000,,,29.67,-95.05,29.83,-95.0,,10120403
7,1950,TEXAS,Tornado,0,5,250000.0,,0.0,,F2,4.6,100,,,32.35,-95.2,32.42,-95.2,,10120404
8,1950,TEXAS,Tornado,0,6,250000.0,,0.0,,F2,4.5,67,,,32.98,-94.63,33.0,-94.7,,10120405
9,1950,TEXAS,Tornado,1,8,25000.0,,0.0,,F2,8.0,833,,,33.33,-94.42,33.45,-94.42,,10120406
10,1950,TEXAS,Tornado,0,32,250000.0,,0.0,,F1,7.7,100,,,31.8,-94.2,31.88,-94.12,,10120409
11,1950,TEXAS,Tornado,3,15,250000.0,,0.0,,F3,1.9,50,,,31.8,-94.2,31.8,-94.18,,10120410
12,1950,TEXAS,Tornado,5,5,250000.0,,0.0,,F4,1.3,233,,,32.42,-99.5,32.42,-99.48,,10120411
13,1950,TEXAS,Tornado,1,13,250000.0,,0.0,,F2,1.9,50,,,36.4,-100.8,36.42,-100.77,,10120413
14,1950,MISSISSIPPI,Tornado,2,1,0.0,,0.0,,F3,2.0,50,,,33.08,-89.58,,,,10050384
15,1950,ARKANSAS,Tornado,0,3,25000.0,,0.0,,F2,4.1,150,,,34.12,-93.07,34.17,-93.03,,9981925
16,1950,MISSOURI,Tornado,0,3,2500000.0,,0.0,,F3,6.2,150,,,38.77,-90.22,38.82,-90.12,,10063615
17,1950,MISSISSIPPI,Tornado,1,2,0.0,,0.0,,F2,0.0,33,,,33.17,-90.55,,,,10049527
18,1950,MISSISSIPPI,Tornado,0,7,250000.0,,0.0,,F2,9.0,50,,,32.28,-90.27,32.3,-90.12,,10049529
19,1950,MISSISSIPPI,Tornado,0,6,250000.0,,0.0,,F2,6.2,50,,,32.28,-90.27,32.3,-90.17,,10049530
20,1950,OKLAHOMA,Tornado,0,2,25000.0,,0.0,,F2,1.0,33,,,36.45,-99.03,,,,10096235
21,1950,MISSISSIPPI,Tornado,3,2,25000.0,,0.0,,F2,0.0,33,,,34.6,-89.12,,,,10049525
22,1950,NEBRASKA,Tornado,0,101,25000.0,,0.0,,F2,4.1,33,,,42.6,-97.88,42.65,-97.82,,10073784
23,1950,NEBRASKA,Tornado,0,33,2500000.0,,0.0,,F4,10.0,440,,,41.8,-96.6,41.73,-96.42,,10073786
24,1950,MISSISSIPPI,Tornado,0,3,25000.0,,0.0,,F1,2.0,37,,,32.42,-89.13,,,,10047275
25,1950,NORTH CAROLINA,Tornado,0,5,0.0,,0.0,,F2,2.0,33,,,35.0,-80.68,,,,10077694
26,1950,NORTH CAROLINA,Tornado,0,3,250000.0,,0.0,,F3,2.0,880,,,34.17,-78.6,,,,10077698
27,1950,ARKANSAS,Tornado,1,8,2500.0,,0.0,,F3,2.5,33,,,35.75,-91.22,,,,9983002
28,1950,ARKANSAS,Tornado,0,20,250000.0,,0.0,,F3,14.9,1760,,,34.98,-91.73,35.08,-91.5,,9983000
29,1950,ARKANSAS,Tornado,0,2,0.0,,0.0,,F2,5.4,833,,,35.1,-91.4,35.15,-91.33,,9983001
30,1950,ARKANSAS,Tornado,0,7,250000.0,,0.0,,F2,10.4,600,,,34.7,-92.35,34.8,-92.22,,9982999
31,1950,ARKANSAS,Tornado,0,7,25000.0,,0.0,,F2,3.6,200,,,34.4,-91.43,34.43,-91.38,,9983004
32,1950,MINNESOTA,Tornado,0,4,2500.0,,0.0,,F2,4.6,67,,,46.58,-96.33,46.52,-96.33,,10052051
33,1950,IOWA,Tornado,0,5,0.0,,0.0,,F3,5.6,300,,,41.98,-93.6,41.97,-93.48,,10017011
34,1950,LOUISIANA,Tornado,5,25,250000.0,,0.0,,F3,17.6,100,,,31.63,-93.65,31.83,-93.47,,10032625
35,1950,LOUISIANA,Tornado,9,40,250000.0,,0.0,,F4,9.0,100,,,32.35,-93.77,32.47,-93.7,,10032626
36,1950,LOUISIANA,Tornado,9,37,250000.0,,0.0,,F4,30.7,100,,,32.47,-93.7,32.85,-93.43,,10032628
37,1950,LOUISIANA,Tornado,0,2,25000.0,,0.0,,F1,2.0,33,,,30.45,-93.45,,,,10032634
38,1950,OHIO,Tornado,0,30,2500000.0,,0.0,,F3,9.7,300,,,40.72,-84.08,40.83,-83.97,,10086810
39,1950,KANSAS,Tornado,0,12,250000.0,,0.0,,F3,3.3,440,,,39.62,-95.62,39.65,-95.57,,10027581
40,1950,TEXAS,Tornado,0,6,250000.0,,0.0,,F3,23.9,67,,,30.18,-96.4,30.02,-96.05,,10120418
41,1950,TEXAS,Tornado,0,2,2500000.0,,0.0,,F1,23.7,33,,,29.9,-96.4,29.72,-96.07,,10120419
42,1950,KANSAS,Tornado,0,2,25000.0,,0.0,,F2,19.6,440,,,39.23,-98.95,39.23,-98.58,,10027585
43,1950,CONNECTICUT,Tornado,0,3,250000.0,,0.0,,F2,5.0,100,,,41.27,-73.5,,,,9986149
44,1950,LOUISIANA,Tornado,5,10,250000.0,,0.0,,F2,12.2,100,,,32.8,-93.23,32.97,-93.17,,10032627
