,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,TOTAL DAMAGES,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
0,2022,FLORIDA,Dense Fog,0,30,0.0,Emergency Manager,,,,,,,,,,,,165593,1001094
1,2022,MISSOURI,Winter Storm,0,3,0.0,Public,,,,,,,,,,,,175269,1078711
2,2022,FLORIDA,Rip Current,1,0,0.0,County Official,,,,,,,,,,,,168741,1021872
3,2022,FLORIDA,Rip Current,0,1,0.0,Lifeguard,,,,,,,,,,,,169739,1027877
4,2022,TEXAS,Tornado,0,3,0.0,NWS Storm Survey,,,EF1,5.19,440.0,,FRUITLAND,33.5182,-97.8369,33.5815,-97.7953,167427,1013708
5,2022,GEORGIA,Rip Current,0,1,0.0,Lifeguard,,,,,,,,,,,,169018,1023866
6,2022,MISSISSIPPI,Thunderstorm Wind,0,1,0.0,Public,50.0,EG,,,,,MC CALLUM,31.2,-89.26,31.2,-89.26,168039,1033966
7,2022,MISSISSIPPI,Heat,1,0,0.0,AWOS,,,,,,,,,,,,171238,1039713
8,2022,OKLAHOMA,Tornado,0,6,35000000.0,NWS Employee,,,EF4,32.3,1056.0,,BOSS,33.8055,-94.9175,34.1263,-94.5078,174357,1060587
9,2022,NEVADA,Dust Devil,0,6,0.0,Public,,,,,,,BOULDER JCT,36.0957,-115.177,36.0957,-115.177,172810,1049234
10,2022,NEVADA,Heat,3,0,0.0,County Official,,,,,,,,,,,,172895,1049838
11,2022,NEVADA,Heat,4,0,0.0,County Official,,,,,,,,,,,,172813,1049238
12,2022,NEVADA,Heat,1,0,0.0,County Official,,,,,,,,,,,,172813,1049240
13,2022,NEVADA,Heat,1,0,0.0,County Official,,,,,,,,,,,,172916,1050023
14,2022,NEVADA,Excessive Heat,3,0,0.0,County Official,,,,,,,,,,,,172903,1050012
15,2022,MICHIGAN,Rip Current,1,0,0.0,911 Call Center,,,,,,,,,,,,173519,1053270
16,2022,GEORGIA,Lightning,1,0,0.0,Emergency Manager,,,,,,,MOUNTAIN CITY,34.92,-83.37,34.92,-83.37,172764,1048820
17,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,186474,1144296
18,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,186474,1144297
19,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,185884,1140908
20,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,185884,1140909
21,2022,GUAM,Rip Current,1,0,0.0,Newspaper,,,,,,,,,,,,175293,1062810
22,2022,GUAM,Rip Current,0,3,0.0,Newspaper,,,,,,,,,,,,175293,1062811
23,2022,IDAHO,Freezing Fog,1,0,0.0,Law Enforcement,,,,,,,,,,,,176476,1071531
24,2022,CALIFORNIA,High Surf,0,2,0.0,Fire Department/Rescue,,,,,,,,,,,,175858,1068321
25,2022,CALIFORNIA,Strong Wind,0,1,10000.0,Emergency Manager,35.0,EG,,,,,,,,,,175858,1068320
26,2022,OKLAHOMA,Wildfire,0,1,0.0,Park/Forest Service,,,,,,,,,,,,174377,1057285
27,2022,MISSOURI,Wildfire,0,2,0.0,Fire Department/Rescue,,,,,,,,,,,,174662,1058840
28,2022,PUERTO RICO,Thunderstorm Wind,0,1,30000.0,Emergency Manager,40.0,EG,,,,,BARRANQUITAS,18.1835,-66.3064,18.1835,-66.3064,174780,1059616
29,2022,TEXAS,Rip Current,1,0,0.0,Coast Guard,,,,,,,,,,,,173363,1052637
30,2022,CALIFORNIA,Strong Wind,2,0,0.0,Broadcast Media,14.0,EG,,,,,,,,,,177617,1080206
31,2022,TEXAS,Heat,53,0,0.0,Broadcast Media,,,,,,,,,,,,171258,1039790
32,2022,CALIFORNIA,Extreme Cold/Wind Chill,1,4,0.0,Local Official,,,,,,,,,,,,168346,1019239
33,2022,PUERTO RICO,Rip Current,1,0,0.0,Newspaper,,,,,,,,,,,,174793,1059687
34,2022,LOUISIANA,Tornado,0,1,50000.0,NWS Storm Survey,,,EF1,2.55,300.0,,FRIZZELL,32.5619,-91.9872,32.5985,-91.9812,167639,1014596
35,2022,TENNESSEE,Thunderstorm Wind,1,0,10000.0,Emergency Manager,50.0,EG,,,,,FOREST HOME,35.9802,-86.9312,35.9802,-86.9312,174126,1056119
36,2022,MISSOURI,Winter Weather,0,2,0.0,Social Media,,,,,,,,,,,,164481,993047
37,2022,HAWAII,High Surf,0,1,0.0,Trained Spotter,,,,,,,,,,,,164849,995251
38,2022,HAWAII,High Surf,0,2,0.0,Trained Spotter,,,,,,,,,,,,164849,995252
39,2022,MISSOURI,Winter Weather,0,1,0.0,CoCoRaHS,,,,,,,,,,,,164481,993050
40,2022,MISSOURI,Winter Weather,0,1,0.0,Emergency Manager,,,,,,,,,,,,164481,993053
41,2022,MISSOURI,Winter Weather,0,2,0.0,CoCoRaHS,,,,,,,,,,,,164481,993059
42,2022,MISSOURI,Winter Weather,0,2,0.0,Amateur Radio,,,,,,,,,,,,164481,993048
43,2022,PUERTO RICO,Rip Current,1,0,0.0,Newspaper,,,,,,,,,,,,165269,998857
44,2022,NEW JERSEY,Winter Weather,1,2,0.0,COOP Observer,,,,,,,,,,,,164278,991727
45,2022,CALIFORNIA,Dense Fog,0,1,100000.0,ASOS,,,,,,,,,,,,164427,992579
46,2022,NEW YORK,Winter Storm,2,0,0.0,Trained Spotter,,,,,,,,,,,,165058,996931
47,2022,SOUTH CAROLINA,High Wind,1,0,0.0,Broadcast Media,50.0,EG,,,,,,,,,,164160,991466
48,2022,NEW YORK,Winter Storm,2,0,0.0,Trained Spotter,,,,,,,,,,,,165058,996920
49,2022,NEW YORK,Winter Storm,0,1,0.0,NWS Employee,,,,,,,,,,,,165058,996911
50,2022,KENTUCKY,Heavy Snow,0,2,0.0,Trained Spotter,,,,,,,,,,,,165225,998303
51,2022,INDIANA,Winter Weather,1,0,50000.0,Law Enforcement,,,,,,,,,,,,164984,1002217
52,2022,INDIANA,Winter Weather,3,1,25000.0,Law Enforcement,,,,,,,,,,,,164984,1002223
53,2022,CALIFORNIA,Dense Fog,1,0,30000.0,Department of Highways,,,,,,,,,,,,164428,992591
54,2022,CONNECTICUT,Winter Weather,0,2,0.0,Newspaper,,,,,,,,,,,,165924,1003217
55,2022,CALIFORNIA,Dense Fog,1,3,0.0,Department of Highways,,,,,,,,,,,,164563,993514
56,2022,NEVADA,Cold/Wind Chill,1,0,0.0,County Official,,,,,,,,,,,,165518,1000548
57,2022,NEW MEXICO,Winter Weather,1,1,0.0,Law Enforcement,,,,,,,,,,,,164846,995429
58,2022,NEW YORK,Winter Weather,0,1,0.0,Fire Department/Rescue,,,,,,,,,,,,165922,1003210
59,2022,IDAHO,Extreme Cold/Wind Chill,1,0,0.0,Newspaper,,,,,,,,,,,,166220,1005099
60,2022,NEW JERSEY,Winter Weather,0,6,0.0,COOP Observer,,,,,,,,,,,,164278,991729
61,2022,PENNSYLVANIA,Winter Weather,0,1,0.0,State Official,,,,,,,,,,,,164527,993498
62,2022,KENTUCKY,Flood,0,1,0.0,Broadcast Media,,,,,,,TYLER,37.0465,-88.5859,37.0506,-88.6038,165263,1000620
63,2022,MISSOURI,Winter Weather,0,1,0.0,Official NWS Observations,,,,,,,,,,,,164534,995474
64,2022,ALABAMA,Tornado,0,1,0.0,NWS Storm Survey,,,EF0,9.55,30.0,,HAZEL GREEN,34.9468,-86.5983,34.978,-86.4343,164230,999642
65,2022,OKLAHOMA,Flood,1,0,0.0,Broadcast Media,,,,,,,SMITHVILLE,34.3975,-94.6878,34.3973,-94.6858,169894,1029455
66,2022,COLORADO,Avalanche,1,2,0.0,State Official,,,,,,,,,,,,166596,1007736
67,2022,NEW JERSEY,Strong Wind,0,1,0.0,COOP Observer,43.0,EG,,,,,,,,,,167422,1013220
68,2022,ARIZONA,Cold/Wind Chill,1,0,0.0,County Official,,,,,,,,,,,,167020,1010838
69,2022,ARIZONA,Cold/Wind Chill,1,0,0.0,County Official,,,,,,,,,,,,167020,1010841
70,2022,IDAHO,Winter Weather,0,4,0.0,Law Enforcement,,,,,,,,,,,,175325,1062937
71,2022,NEBRASKA,Wildfire,1,0,3000000.0,Emergency Manager,,,,,,,,,,,,174975,1060705
